Titles	department
Sohn, Dong-Seong(손동성)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Son, Hungsun(손흥선)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Yoon, Eisung(윤의성)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Baek, Joon Sang(백준상)(2011-07~2018-03)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Chung, Dongil(정동일)	School of Design and Human Engineering(디자인 및 인간공학부)
Hong, Hwajung(홍화정)(2015-08~2018-03)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Jung, Dooyoung(정두영)	School of Design and Human Engineering(디자인 및 인간공학부)
Kim, Chajoong(김차중)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Kim, KwanMyung(김관명)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Kim, Sung-Phil(김성필)	School of Design and Human Engineering(디자인 및 인간공학부)
Kwak, Youngshin(곽영신)	School of Design and Human Engineering(디자인 및 인간공학부)
Kwon, Oh-Sang(권오상)	School of Design and Human Engineering(디자인 및 인간공학부)
Kyung, Gyouhyung(경규형)	School of Design and Human Engineering(디자인 및 인간공학부)
Oakley, Ian(OakleyIan)	School of Design and Human Engineering(디자인 및 인간공학부)
Park, Young-Woo(박영우)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Self, James(SelfJames Andrew)	Graduate School of Creative Design Engineering(디자인-공학 융합전문대학원)
Shin, GwanSeob(신관섭)	School of Design and Human Engineering(디자인 및 인간공학부)
Amblard, Francois(AmblardFrancois)	School of Life Sciences(생명과학부)
Bae, Sung Chul(배성철)	School of Life Sciences(생명과학부)
Bhak, Jong(박종화)	School of Life Sciences(생명과학부)
Cho, Hyungjoon(조형준)	School of Life Sciences(생명과학부)
Choi, Jang Hyun(최장현)	School of Life Sciences(생명과학부)
Cho, Yoon-Kyoung(조윤경)	School of Life Sciences(생명과학부)
Ghim, Cheol-Min(김철민)	School of Life Sciences(생명과학부)
Jung, Woonggyu(정웅규)	School of Life Sciences(생명과학부)
Kang, Byoung Heon(강병헌)	School of Life Sciences(생명과학부)
Kang, Hyun-Wook(강현욱)	School of Life Sciences(생명과학부)
Kang, Joo H.(강주헌)	School of Life Sciences(생명과학부)
Kang, Sebyung(강세병)	School of Life Sciences(생명과학부)
Kim, Eunhee(김은희)	School of Life Sciences(생명과학부)
Kim, Hajin(김하진)	School of Life Sciences(생명과학부)
Kim, Jae-Ick(김재익)	School of Life Sciences(생명과학부)
Kim, Jeong Beom(김정범)	School of Life Sciences(생명과학부)
Ko, Myunggon(고명곤)	School of Life Sciences(생명과학부)
Kwon, H. Moo(권혁무)	School of Life Sciences(생명과학부)
Kwon, Taejoon(권태준)	School of Life Sciences(생명과학부)
Lee, Changwook(이창욱)	School of Life Sciences(생명과학부)
Lee, Ja Yil(이자일)	School of Life Sciences(생명과학부)
Lee, Semin(이세민)	School of Life Sciences(생명과학부)
Lim, Chunghun(임정훈)	School of Life Sciences(생명과학부)
Min, Kyung-Tai(민경태)	School of Life Sciences(생명과학부)
Mitchell, Robert J.(MitchellRobert James)	School of Life Sciences(생명과학부)
Myung, Kyungjae(명경재)	School of Life Sciences(생명과학부)
Nam, Dougu(남덕우)	School of Life Sciences(생명과학부)
Park, Chan Young(박찬영)	School of Life Sciences(생명과학부)
Park, Jiyoung(박지영)	School of Life Sciences(생명과학부)
Park, Jung-Hoon(박정훈)	School of Life Sciences(생명과학부)
Park, Tae-Eun(박태은)	School of Life Sciences(생명과학부)
Park, Tae Joo(박태주)	School of Life Sciences(생명과학부)
Scharer, Orlando D.(ScharerDavid Orlando)	School of Life Sciences(생명과학부)
Bae, Hantaek(배한택)	School of Natural Science(자연과학부)
Bielawski, Christopher W.(BielawskiChristopher W)	School of Natural Science(자연과학부)
Choe, Wonyoung(최원영)	School of Natural Science(자연과학부)
Choi, EunMi(최은미)	School of Natural Science(자연과학부)
Choi, Jin Hyuk(최진혁)	School of Natural Science(자연과학부)
Choi, Kyudong(최규동)	School of Natural Science(자연과학부)
Cho, Perter J.(조재현)	School of Natural Science(자연과학부)
Chung, Moses(정모세)	School of Natural Science(자연과학부)
Granick, Steve(GranickSteve)	School of Natural Science(자연과학부)
Grzybowski, Bartosz A.(GrzybowskiBartosz Andrzej)	School of Natural Science(자연과학부)
Hur, Min Sup(허민섭)	School of Natural Science(자연과학부)
In, Yongkyoon(인용균)	School of Natural Science(자연과학부)
Jang, Bongsoo(장봉수)	School of Natural Science(자연과학부)
Jeong, Joonwoo(정준우)	School of Natural Science(자연과학부)
Jin, Hosub(진호섭)	School of Natural Science(자연과학부)
Jung, Chang-Yeol(정창렬)	School of Natural Science(자연과학부)
Kim, Byeong-Su(김병수)(2009-08~2018-09)	School of Natural Science(자연과학부)
Kim, Chae Un(김채운)	School of Natural Science(자연과학부)
Kim, Je-Hyung(김제형)	School of Natural Science(자연과학부)
Kim, Kwang S.(김광수)	School of Natural Science(자연과학부)
Kim, Kwanpyo(김관표)(2014-05~2018-03)	School of Natural Science(자연과학부)
Kim, Pilwon(김필원)	School of Natural Science(자연과학부)
Kim, Yung Sam(김영삼)	School of Natural Science(자연과학부)
Kim, Yunho(김윤호)	School of Natural Science(자연과학부)
Kwak, Kyujin(곽규진)	School of Natural Science(자연과학부)
Kwon, Bongsuk(권봉석)	School of Natural Science(자연과학부)
Kwon, Oh Hoon(권오훈)	School of Natural Science(자연과학부)
Kwon, Tae-Hyuk(권태혁)	School of Natural Science(자연과학부)
Lah, Myoung Soo(나명수)	School of Natural Science(자연과학부)
Lee, Chang Hyeong(이창형)	School of Natural Science(자연과학부)
Lee, Geunsik(이근식)	School of Natural Science(자연과학부)
Min, Seung Kyu(민승규)	School of Natural Science(자연과학부)
Moon, Hoi Ri(문회리)	School of Natural Science(자연과학부)
Oh, Yoon Seok(오윤석)	School of Natural Science(자연과학부)
Park, Cheol-Min(박철민)	School of Natural Science(자연과학부)
Park, Hyeon Keo(박현거)	School of Natural Science(자연과학부)
Park, Kibog(박기복)	School of Natural Science(자연과학부)
Park, Noejung(박노정)	School of Natural Science(자연과학부)
Park, Young S.(박영석)	School of Natural Science(자연과학부)
Rohde, Jan-Uwe(RohdeJan-Uwe)	School of Natural Science(자연과학부)
Ruoff, Rodney S.(RuoffRodney Scott)	School of Natural Science(자연과학부)
